feature,mean_abs_shap
TNC_num__aligned,0.06605339247311649
Remission_Status,0.04609741648686481
Conditioning_Regimen_Unknown,0.04607986347332853
CD34_num__aligned,0.03577837418867616
Recipient_Age,0.016616065771910018
CD34_num,0.009201065291882955
TNC_num,0.007001942547202594
Race_Black or African American,0.0022240522082776527
Race_Caucasian,0.0019933194281913954
Cord_Blood_Units,0.0019882945012923343
Race_White,0.0018981974478215478
HLA_Match_Level_>=4/6,0.0016747633700100386
HLA_Match_Level_5/6,0.0016202437336585013
Race_Non-White,0.0015830467639199636
Race_Asian,0.0015156900201742378
Disease_Type_ALL,0.0013320006499396568
Disease_Type_CML,0.0010443879376062066
Race_Non-Caucasian,0.0009906719561392024
Disease_Type_MDS,0.0009155057323805983
HLA_Match_Level_<=5/8,0.0008628115887919575
Conditioning_Regimen_Myeloablative,0.0006430205728043723
Recipient_Sex,0.0006256481689281167
Disease_Type_AML,0.0006183514895406273
"HLA_Match_Level_4/6,4/6",0.0005090898907086673
HLA_Match_Level_4/6,0.00024951416927066915
