feature,mean_abs_shap
TNC_num__aligned,0.7790609058949854
Remission_Status,0.6305295653964089
TNC_num,0.4658845514710048
CD34_num,0.23308344315694754
CD34_num__aligned,0.19987963025886304
Recipient_Age,0.16514854820384803
Recipient_Sex,0.11169673695752276
Conditioning_Regimen_Reduced intensity,0.08612226413112348
Cord_Blood_Units,0.07518912367291745
Ethnicity_Unknown,0.07479439587602721
Race_Unknown,0.07185981758491591
Race_White,0.07032405109478262
Conditioning_Regimen_Myeloablative,0.06709716833129593
HLA_Match_Level_5/6,0.05210583854880949
Race_Caucasian(white),0.03797981509163914
"HLA_Match_Level_4/6,4/6",0.03765092170070558
Ethnicity_Non-Hispanic,0.02787093432418342
HLA_Match_Level_6/6,0.02668805135260738
Disease_Type_ALL,0.025189488253888836
Disease_Type_AML,0.023251583476681072
"HLA_Match_Level_4/6,5/6",0.022797952946158082
Disease_Type_Other,0.021217044775724822
HLA_Match_Level_4/6,0.019633573978891334
Disease_Type_MDS,0.01837498736756926
Ethnicity_Not Hispanic or Latino,0.01801017461740917
