feature,mean_abs_shap
Remission_Status,0.6386766731160677
TNC_num__aligned,0.5901691092689563
CD34_num__aligned,0.44078903274532494
CD34_num,0.3773108045844619
TNC_num,0.34200716051690727
Recipient_Age,0.2531768013242385
Ethnicity_Unknown,0.11546562727126798
Cord_Blood_Units,0.11525353835017701
Recipient_Sex,0.10970647634367786
Disease_Type_AML,0.09016385030802546
Ethnicity_Non-Hispanic,0.09007766706454694
Ethnicity_Not Hispanic or Latino,0.054005163757362445
Race_Caucasian(white),0.04812254999710384
"HLA_Match_Level_4/6,5/6",0.047518802858688834
Disease_Type_MDS,0.04634007801780282
Race_White,0.04276223648797092
Disease_Type_ALL,0.0359843971074408
Conditioning_Regimen_Reduced intensity,0.02699856700440904
HLA_Match_Level_5/6,0.025413365565421148
Conditioning_Regimen_Other,0.020338153648062924
HLA_Match_Level_4/6,0.019377153954915217
"HLA_Match_Level_4/6,4/6",0.018020522768516255
Race_Unknown,0.015941816198254546
Race_Asian,0.015473983264892754
Conditioning_Regimen_Myeloablative,0.015464962979856684
