feature,mean_abs_shap
Remission_Status,0.43474328003789464
CD34_num,0.3721572018927064
TNC_num__aligned,0.29736320697579216
CD34_num__aligned,0.2738075195190961
TNC_num,0.18620734280657475
Recipient_Age,0.15444219649804364
Recipient_Sex,0.11445579435689116
Race_White,0.10051116825392706
Cord_Blood_Units,0.06450364248629203
Disease_Type_MDS,0.05077769409509321
Conditioning_Regimen_Reduced intensity,0.04968765849081326
HLA_Match_Level_4/6 or 5/6,0.04558066255479317
Disease_Type_Other,0.04116666287766772
HLA_Match_Level_Missing/Unknown,0.04002462214312891
Ethnicity_Not Hispanic or Latino,0.03784264895169177
HLA_Match_Level_4/6,0.03486653596498215
Ethnicity_Non-Hispanic,0.03482632188600518
Race_Unknown,0.031661558415611676
Conditioning_Regimen_Myeloablative,0.031657435947443545
Conditioning_Regimen_Other,0.028508023856855254
Disease_Type_AML,0.02700866998444205
Race_Caucasian(white),0.025474772560337974
Race_Black or African American,0.015055137659264166
HLA_Match_Level_5/6,0.014050351872043218
Disease_Type_ALL,0.014023068944512678
