column,KS_stat,p_raw,n_silver,n_candidate,p_bonf,p_fdr,pass(p_raw>=0.05),pass(p_bonf>=0.05),pass(p_fdr>=0.05),test,dataset,chi2_stat
Recipient_Age,0.0,1.0,10222,10222,1.0,1.0,True,True,True,KS,COMPLETE,
CD34_num,0.07057332843789177,1.7884129441758312e-17,6391,10222,1.6095716497582481e-16,8.047858248791241e-17,False,False,False,KS,COMPLETE,
TNC_num,0.08011186949008486,2.3515687222425915e-27,9122,10222,2.1164118500183323e-26,2.1164118500183323e-26,False,False,False,KS,COMPLETE,
hla_best,0.011137081976806462,0.556487610760702,9914,10222,1.0,0.7154840709780454,True,True,True,KS,COMPLETE,
hla_worst,0.014397838235276073,0.24537400832570921,9914,10222,1.0,0.5520915187328457,True,True,True,KS,COMPLETE,
Neutrophil_Engraftment,0.011844447238197942,0.5161796801415229,8818,10222,1.0,0.7154840709780454,True,True,True,KS,COMPLETE,
Platelet_Engraftment,0.012703960788292279,0.5350776902914747,6559,10222,1.0,0.7154840709780454,True,True,True,KS,COMPLETE,
Chronic_GVHD,0.0,1.0,10222,10222,1.0,1.0,True,True,True,KS,COMPLETE,
1_Year_Survival,0.024910659507724975,0.005794359837605379,8683,10222,0.05214923853844841,0.017383079512816136,False,True,False,KS,COMPLETE,
Disease_Type,,1.0,10222,10222,1.0,1.0,True,True,True,CHI,COMPLETE,0.0
Conditioning_Regimen,,1.0,10222,10222,1.0,1.0,True,True,True,CHI,COMPLETE,0.0
HLA_Match_Level,,1.0,10222,10222,1.0,1.0,True,True,True,CHI,COMPLETE,6.573840876841766e-32
Recipient_Age,0.011476775582077936,0.33244345369202055,10222,20000,1.0,0.49866518053803083,True,True,True,KS,COMPLETE_SDV,
CD34_num,0.05324352996401194,2.2569046927255795e-12,6391,20000,2.0312142234530216e-11,1.0156071117265108e-11,False,False,False,KS,COMPLETE_SDV,
TNC_num,0.05279037491778116,1.2935387638374316e-15,9122,20000,1.1641848874536884e-14,1.1641848874536884e-14,False,False,False,KS,COMPLETE_SDV,
hla_best,0.04201677665171022,2.022154126999606e-10,9914,18942,1.8199387142996456e-09,6.066462380998818e-10,False,False,False,KS,COMPLETE_SDV,
hla_worst,0.025696557920021124,0.0003635512253431052,9914,18942,0.003271961028087947,0.0008179902570219868,False,False,False,KS,COMPLETE_SDV,
Neutrophil_Engraftment,0.0011169085960535396,1.0,8818,20000,1.0,1.0,True,True,True,KS,COMPLETE_SDV,
Platelet_Engraftment,0.014958050007623125,0.21691457336713205,6559,20000,1.0,0.3904462320608377,True,True,True,KS,COMPLETE_SDV,
Chronic_GVHD,0.00823983564860109,0.7446490175870726,10222,20000,1.0,0.9574058797548075,True,True,True,KS,COMPLETE_SDV,
1_Year_Survival,0.005589076356098122,0.9910290642330569,8683,20000,1.0,1.0,True,True,True,KS,COMPLETE_SDV,
Disease_Type,,4.751154358003078e-15,10222,20000,1.4253463074009236e-14,7.126731537004618e-15,False,False,False,CHI,COMPLETE_SDV,73.21518960618924
Conditioning_Regimen,,0.049620445637072456,10222,20000,0.14886133691121736,0.049620445637072456,False,True,False,CHI,COMPLETE_SDV,7.831728430224814
HLA_Match_Level,,1.9344017572528157e-119,10222,20000,5.803205271758447e-119,5.803205271758447e-119,False,False,False,CHI,COMPLETE_SDV,613.5378818757786
